,Open,High,Low,pred
0,140.6756,140.6800,140.5800,140.77831074059685
0,140.7350,140.8000,140.6500,140.89358126963856
0,140.7100,140.7550,140.6500,140.8737327180895
0,140.7500,140.7700,140.7000,140.9026419595124
0,140.5900,140.7551,140.5700,140.87997091973304
0,140.6100,140.7700,140.5400,140.85463214818787
0,140.7000,140.7150,140.6000,140.80731791364303
0,140.6450,140.7500,140.6000,140.86766872725087
0,140.8400,140.8400,140.6449,140.8570612128873
0,140.7900,140.8500,140.7350,140.9695881536554
0,140.7300,140.7900,140.7100,140.9385127439491
0,140.6300,140.8200,140.6300,140.9558946560498
0,140.5636,140.6350,140.4000,140.66191782139023
0,140.8300,140.8300,140.5300,140.76019951073752
0,140.7200,140.8700,140.6918,140.9915770940992
0,140.7100,140.8300,140.7100,140.98162897474865
0,140.7500,140.7700,140.6300,140.84468495134948
0,140.8200,140.8960,140.6000,140.87542217790264
